household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,coupon_dependency,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,Campaigns_Last_30D,Days_Since_Last_Camp,has_demographic_info,Primary_Store_ID
1475,0,241,11426.28,2.8757985,541,1,0.0018484288354898336,1.0,0.06639003873900254,14.518671596735619,0.0020076523,0.6763864283963403,0.35421794584918326,0.48130736404453245,0.17640474551957747,2.9999999999999996,3.0,3.0,0.0,0.0,48.0,1,361
1476,0,229,5611.56,2.867397,616,3,0.00487012987012987,0.8539325842696629,0.0,6.921397077668249,0.0,1.2883064322981905,0.1997934950955085,0.4940568449919543,0.11679586502947874,-0.5000000000000013,5.0,2.0,0.0,1.0,27.0,0,412
1477,0,14,258.46,1.9408717,589,52,0.08828522920203735,0.1644295302013423,0.0,5.14285346939038,0.0,0.8289081150881589,0.3488372093023256,0.32142853316326986,0.11904760487528512,0.0,0.0,0.0,0.0,0.0,651.0,0,420
1478,0,6,88.59,3.7192411,539,90,0.2560296846011132,0.0641025641025641,0.0,4.833325277791204,0.0,0.6733166410656717,0.34285714285714286,0.6969694857668224,0.2121211478420764,0.0,0.0,0.0,0.0,0.0,651.0,0,420
1479,0,639,7775.7397,2.4454575,627,2,0.003189792663476874,0.9826498422712934,0.03129890404853045,4.641627470397067,0.003289719,0.7215978083976186,0.2747586206896552,0.5045542354276725,0.1239304440410421,9.5,0.0,1.0,0.0,0.0,48.0,1,410
148,0,50,1152.26,2.6005085,558,13,0.023297491039426525,0.4336283185840708,0.019999996000000797,6.959998608000278,0.00047732284,1.1757940033395282,0.22511848341232227,0.5833333194444448,0.16428571037414977,-1.000000000000001,0.0,0.0,0.0,0.0,651.0,0,438
1480,0,25,145.22,1.8752267,565,35,0.061946902654867256,0.25699300699300703,0.0,2.5599989760004096,0.0,1.1471282739058917,0.7880434782608695,0.9010988515879752,0.5439560140683508,0.0,0.0,0.0,0.0,0.0,651.0,0,293
1481,0,128,2625.09,2.1575994,562,1,0.0017793594306049821,0.7381370826010544,0.01562499877929697,8.476561837768607,0.0010475831,1.0974008954191,0.21488871834228704,0.5818601031371246,0.150653342423879,-2.5000000000000013,2.0,1.0,1.0,0.0,36.0,1,369
1482,0,18,1042.35,2.584595,613,56,0.09135399673735727,0.1806451612903226,0.055555524691375174,19.555544691364062,0.0009593707,1.3300868728546125,0.33073929961089493,0.42773436664581316,0.16210937183380134,0.0,0.0,0.0,0.0,0.0,651.0,0,292
1483,0,80,3974.84,2.0954952,646,1,0.0015479876160990713,0.6110260336906584,0.049999993750000776,21.04999736875033,0.002359843,0.9677306787282699,0.41576354679802957,0.5645956579655047,0.1878698215588273,-1.0000000000000018,3.0,1.0,0.0,0.0,64.0,1,370
1484,0,91,2822.68,1.9394381,543,5,0.009208103130755065,0.750909090909091,0.21978019562854992,13.637361138751523,0.011988607,0.8413704584821462,0.24796195652173914,0.45034013299088343,0.15034013503169977,1.9999999999999993,1.0,0.0,0.0,0.0,64.0,1,424
1485,0,57,1966.48,5.3962784,625,9,0.0144,0.49841772151898733,0.05263156971375969,7.210525050785078,0.002537529,0.8498914134229334,0.2537878787878788,0.35741444187425014,0.07034220398588967,-0.5000000000000007,3.0,0.0,0.0,0.0,147.0,1,32004
1486,0,11,456.91,3.7862966,561,40,0.07130124777183601,0.12323943661971831,0.09090900826453795,11.45453504133178,0.0021886148,1.2190221537824233,0.43352601156069365,0.608187098936427,0.11695905748777441,0.0,0.0,0.0,0.0,0.0,651.0,0,439
1487,0,27,913.02,3.1252174,546,3,0.005494505494505495,0.20253164556962025,0.03703702331962099,9.851848203019184,0.0027381657,2.7443856279289127,0.1721311475409836,0.49450548092017915,0.14835164427605374,0.4999999999999998,0.0,0.0,0.0,0.0,651.0,0,388
1488,0,64,2738.72,3.268871,556,9,0.01618705035971223,0.5719360568383659,0.2031249682617237,16.281247456055084,0.010643659,0.9775682309475803,0.36363636363636365,0.6516177528094977,0.2648607955992416,-3.5606350123330496e-16,3.0,1.0,0.0,0.0,64.0,1,306
1489,1,396,13869.58,2.1374226,586,3,0.005119453924914676,0.9679595278246207,0.03535353446076933,12.616161297571685,0.0010923187,0.823051090287554,0.3453015427769986,0.7112794602815945,0.2410213240165245,1.9999999999999973,3.0,4.0,2.0,2.0,5.0,0,432
149,1,133,9037.03,2.5283406,609,3,0.0049261083743842365,0.7613636363636364,0.0,22.46616372434859,0.0,1.7934559717516732,0.14009111617312073,0.39173789062182934,0.11139601107864383,1.9999999999999991,5.0,2.0,0.0,2.0,5.0,1,327
1490,0,186,4127.98,2.815739,647,1,0.0015455950540958269,0.9311926605504587,0.005376343796970763,7.155913593768086,0.00060562306,0.7080656803055321,0.20324105334233625,0.47667342476894237,0.23123732095174226,2.499999999999998,5.0,1.0,0.0,1.0,27.0,0,367
1491,0,263,5122.1,1.9726707,569,4,0.007029876977152899,0.9843749999999999,0.011406843672743588,7.384030137489349,0.00033189513,0.7085762092715427,0.08513341804320203,0.3815175905827995,0.10046629885347054,1.4999999999999993,3.0,2.0,1.0,0.0,64.0,1,296
1492,0,86,1102.5599,1.8590225,634,2,0.0031545741324921135,0.6989079563182528,0.011627905624662135,5.209301719848637,0.0022674503,0.7619234835824735,0.3279279279279279,0.4412296484406935,0.19891500544457497,-0.5000000000000013,3.0,0.0,0.0,0.0,147.0,1,401
1493,0,21,840.2,3.3988733,535,2,0.003738317757009346,0.24538745387453875,0.14285707482996438,12.76189868481015,0.0045227325,1.061551749325761,0.34306569343065696,0.6894865357093757,0.2542787223892733,0.4999999999999997,1.0,0.0,0.0,0.0,239.0,0,341
