household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,future_revenue_60d,discounted_future_revenue_60d,future_txn_count_60d,first_future_day,last_future_day,future_active_flag,annual_discount_rate,value_horizon_start_day,value_horizon_end_day
2219,0,9,138.93,5.1678114,571,90,0.4080560420315236,0.0847750865051903,0.0,4.222222222222222,0.0,42.25,49.5284910790893,1.1722717007425394,0.1698113207547169,0.627450857362577,0.1176470357554831,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,361,32.79,32.43928308079688,8.0,702.0,702.0,1,0.08,651,711
222,0,106,4914.8,4.0568233,606,5,0.0082508250825082,0.7879282218597063,0.0094339622641509,19.556603773584907,0.0141509433962264,6.13265306122449,5.57726932242719,0.9094367759564465,0.6122772277227723,0.3757431614120365,0.1026555683604614,2.5000000000000004,3.0,0.0,64.0,3.0,0.0,0.0,1,304,462.88,460.18167275264534,177.0,657.0,709.0,1,0.08,651,711
2220,0,9,164.58,3.421098,612,7,0.011437908496732,0.1017770597738287,0.0,4.222222222222222,0.0,75.625,73.30355185313816,0.9693030368278716,0.1454545454545454,0.2641508935564352,0.2452829725881183,0.5000000000000001,0.0,0.0,651.0,0.0,0.0,0.0,0,323,0.0,0.0,0.0,,,0,0.08,651,711
2221,0,106,2091.51,1.2081604,544,1,0.0018382352941176,0.91470054446461,0.0094339622641509,10.169811320754716,0.0188679245283018,5.271844660194175,2.310225244757603,0.4382186903218823,0.4006908462867012,0.5519031094126029,0.2612456724805738,-0.5000000000000007,4.0,0.0,64.0,3.0,1.0,0.0,1,288,209.89,208.50025551929392,102.0,657.0,709.0,1,0.08,651,711
2222,0,34,2681.1199,2.9224806,621,15,0.0241545893719806,0.3678343949044586,0.2352941176470588,27.764705882352946,1.0441176470588236,18.363636363636363,14.815148880913627,0.8067650937915327,0.1746307558644657,0.5570060874063875,0.1549173180599015,-2.9671958436108745e-16,2.0,0.0,36.0,1.0,0.0,1.0,0,374,283.15,280.7373946118387,90.0,669.0,707.0,1,0.08,651,711
2223,1,296,2040.9299,2.9598165,641,6,0.0093603744149766,0.6157407407407407,0.0033783783783783,2.75,0.0033783783783783,3.802395209580838,10.367488293001305,2.7265606166535243,0.0946462715105162,0.6436781547540407,0.1091954012529176,-9.495026699554801e-16,3.0,0.0,147.0,3.0,0.0,0.0,0,381,4.85,4.821081820449473,3.0,679.0,681.0,1,0.08,651,711
2224,0,95,3642.8,1.8462623,640,3,0.0046875,0.8006182380216383,0.0,14.926315789473684,0.0,6.849462365591398,3.7733223642208378,0.550892413724636,0.2308698495748855,0.5736738665771194,0.2344466258385944,-9.495026699554801e-16,7.0,0.0,36.0,4.0,2.0,1.0,1,315,341.3,338.8884349089046,142.0,656.0,711.0,1,0.08,651,711
2225,0,83,2843.97,3.3548021,603,5,0.0082918739635157,0.6540983606557378,0.0,11.337349397590362,0.0,8.08108108108108,6.862159005190267,0.8491624381335712,0.2209631728045325,0.3670766285044785,0.0728476814300124,-0.5000000000000002,5.0,1.0,5.0,3.0,2.0,0.0,0,446,394.81,392.7472004408078,135.0,654.0,711.0,1,0.08,651,711
2226,0,567,7322.17,4.9080253,540,23,0.0425925925925925,0.9085923217550276,0.0335097001763668,4.379188712522046,0.0447971774577253,1.581039755351682,1.3078367453173942,0.8271951852814933,0.3156507413509061,0.4935707204300338,0.1097922845044764,-22.000000000000004,10.0,1.0,27.0,3.0,5.0,2.0,0,369,249.2,247.39344013985942,68.0,657.0,710.0,1,0.08,651,711
2227,1,170,4843.81,1.8115829,555,1,0.0018018018018018,0.7846975088967971,0.0470588235294117,13.223529411764703,0.0911764705882352,3.874125874125874,4.13822295137801,1.0681667049975945,0.4069850320741269,0.6408701831638011,0.2097004272121953,-1.5000000000000018,0.0,0.0,651.0,0.0,0.0,0.0,0,391,0.0,0.0,0.0,,,0,0.08,651,711
