model,rank_test_score,mean_cv_PR_AUC,std_cv_PR_AUC,params
Extra Trees balanced,16,0.3093575391181184,0.06507852265462034,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
Extra Trees balanced,17,0.30730070175110924,0.06863231521049813,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,18,0.3043850301742092,0.07506039315428698,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,19,0.30289758345815726,0.02364962686571567,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,20,0.30098632937406583,0.06345575345473968,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,21,0.2994457827787727,0.05500485158891436,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,22,0.29792825430193826,0.06431541602657011,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,23,0.2969951345604148,0.07501772249939041,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,24,0.2944996028873441,0.05793083500577977,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,25,0.2942445961070984,0.021084862176218033,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}"
Extra Trees balanced,26,0.29281666694699354,0.06397128489150818,"{""model__max_depth"": 10, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,27,0.29069807802492165,0.06356750798737382,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,28,0.286856515465156,0.06338481909953836,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,29,0.28637333759151545,0.07121184157951617,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Extra Trees balanced,30,0.282741912841421,0.06030190193875865,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
Extra Trees balanced,31,0.2821798638670986,0.057634590991027745,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
Extra Trees balanced,32,0.28027098579127574,0.059170576111807205,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,33,0.27934559605125264,0.06040640437426136,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,34,0.2773931348858578,0.07825239281206284,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 100}"
Extra Trees balanced,35,0.27568035930203083,0.068645721188784,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,36,0.2729982599670068,0.05920699174370086,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}"
Extra Trees balanced,37,0.27038724481561227,0.06558381678893238,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 100}"
Extra Trees balanced,38,0.2685789369372104,0.08055117440692094,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}"
Extra Trees balanced,39,0.26797522461878326,0.061137493925264554,"{""model__max_depth"": 10, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}"
Extra Trees balanced,40,0.2603603630781247,0.0673679754625192,"{""model__max_depth"": 5, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
XGBoost weighted,1,0.37111520299278,0.053996525093683065,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 1.0}"
XGBoost weighted,2,0.36967540126071563,0.051376762818072255,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 3, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.75}"
XGBoost weighted,3,0.3659735964756818,0.05893855704183694,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.01, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 200, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,4,0.3655891775605161,0.05744856218113198,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 300, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.75}"
XGBoost weighted,5,0.3650053921757359,0.08195885638670715,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 3, ""model__n_estimators"": 50, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.85}"
XGBoost weighted,6,0.3616116149845026,0.06487064603614315,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
XGBoost weighted,7,0.3607793050452,0.059602946895084594,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.01, ""model__max_depth"": 3, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.75}"
XGBoost weighted,8,0.3527836309966584,0.06374023846619853,"{""model__colsample_bytree"": 0.75, ""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__min_child_weight"": 3, ""model__n_estimators"": 100, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
XGBoost weighted,9,0.3526022713016939,0.0638694121520232,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.01, ""model__max_depth"": 4, ""model__min_child_weight"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 3.0, ""model__subsample"": 0.85}"
XGBoost weighted,10,0.35187065108901056,0.058375870215541505,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 50, ""model__reg_lambda"": 10.0, ""model__subsample"": 0.85}"
