household_key,churn_flag,Frequency,Monetary,Basket_Value_Std,customer_lifetime,Recency_Capped,Inactive_Days_Ratio,active_weeks_ratio,promo_usage_ratio,Avg_Items_Per_Basket,Discount_Per_Transaction,IPT_mean,IPT_std,IPT_CV,Private_Brand_Ratio,Display_Responsiveness,Mailer_Responsiveness,Rolling_Freq_Slope,Total_Campaigns_Received,Campaigns_Last_30D,Days_Since_Last_Camp,Camp_Count_TypeA,Camp_Count_TypeB,Camp_Count_TypeC,has_demographic_info,Primary_Store_ID,is_treated_x,treatment_source_x,treatment_cutoff_day_x,is_treated_y,propensity_score,propensity_logit,common_support_flag,treatment_source_y,treatment_cutoff_day_y,p_churn_calibrated,predicted_discounted_value_60d_if_active,risk_decile,priority_segment,risk_rank
1271,0,116,3690.21,1.5747749,534,2,0.0037453183520599,0.8539741219963031,0.0086206896551724,13.663793103448276,0.0047413794131114,4.8807339449541285,3.332568719644335,0.6827993349435291,0.2915291529152915,0.4796255480196831,0.1409691622193328,0.9999999999999988,4.0,0.0,64.0,3.0,1.0,0.0,0,364,0,Light/No_Promo_User,651,0,0.3954152415114266,-0.4246054157159896,True,Light/No_Promo_User,651,0.0746001374542977,380.9288766784326,9,Low Risk - High Value,2217
1272,0,231,9063.35,2.6760104,618,1,0.0016181229773462,0.952,0.0476190476190476,12.909090909090908,0.08008658008658,2.730088495575221,2.2750193144284765,0.8333103432406158,0.1242367932041412,0.321115536995709,0.1256308097592807,-3.000000000000004,9.0,2.0,5.0,3.0,4.0,2.0,1,448,0,Light/No_Promo_User,651,0,0.4000650787432673,-0.4051939540288753,True,Light/No_Promo_User,651,0.0780270139899033,850.554800683724,9,Low Risk - High Value,2113
1273,0,13,173.49,7.178471,548,18,0.0328467153284671,0.1261261261261261,0.0,3.615384615384616,0.0,53.0,123.35855597944284,2.327519484985811,0.2777777777777778,0.4999999038461723,0.1538461242603607,0.5000000000000001,0.0,0.0,651.0,0.0,0.0,0.0,0,421,0,Light/No_Promo_User,651,0,0.1176237501088181,-2.015127580440906,True,Light/No_Promo_User,651,0.0870459937625159,38.97810595441567,8,Low Risk - Low Value,1826
1274,0,251,11519.66,6.223697,596,1,0.0016778523489932,0.9983416252072967,0.0039840637450199,10.430278884462153,0.0039840637450199,2.5869565217391304,1.6477599848077693,0.6369467756776519,0.1379107981220657,0.6068702272258654,0.121843804692179,2.999999999999999,0.0,0.0,651.0,0.0,0.0,0.0,0,317,0,Light/No_Promo_User,651,0,0.3435840302335103,-0.6473629769950207,True,Light/No_Promo_User,651,0.0922705978581008,971.614707308746,7,Low Risk - High Value,1577
1275,1,8,137.63,1.5349467,582,90,0.6185567010309279,0.0475382003395585,0.0,7.5,0.0,44.4,45.51153699887535,1.0250343862281863,0.2528735632183908,0.4823528844290724,0.1882352719723209,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0,295,0,Light/No_Promo_User,651,0,0.1406840782247635,-1.809619836364255,True,Light/No_Promo_User,651,0.2881268989328476,32.71235373776522,1,High Risk - Low Value,80
1276,0,16,587.87,2.121794,541,9,0.0166358595194085,0.1660583941605839,0.0,14.375,0.0,38.0,60.20733407918903,1.584403111451524,0.1952861952861952,0.3491525305372024,0.0779660990519966,0.5000000000000001,0.0,0.0,651.0,0.0,0.0,0.0,0,389,0,Light/No_Promo_User,651,0,0.2873464856815967,-0.9083065928455542,True,Light/No_Promo_User,651,0.0519616878793282,38.27785982952051,10,Low Risk - Low Value,2472
1277,0,310,5429.4,3.0950072,556,1,0.0017985611510791,0.9573712255772646,0.0290322580645161,5.864516129032258,0.0545161278017105,2.6179245283018866,2.260365158178089,0.8634154650323768,0.2441514249255636,0.6066411212999526,0.1902937412077746,4.999999999999998,6.0,0.0,36.0,3.0,2.0,1.0,0,356,0,Light/No_Promo_User,651,0,0.1687315921477519,-1.5946434962758145,True,Light/No_Promo_User,651,0.0976003681734511,405.874028786078,6,Low Risk - High Value,1353
1278,0,16,651.27997,3.4972818,549,15,0.0273224043715847,0.1888489208633093,0.0625,11.75,0.0625,35.6,31.73056210388608,0.8913076738991387,0.2398190045248869,0.4748858230645743,0.1780821836492153,0.5000000000000001,0.0,0.0,651.0,0.0,0.0,0.0,0,389,1,Heavy_Promo_User,651,1,0.2896387124966685,-0.8971393689248093,True,Heavy_Promo_User,651,0.0776405676311095,101.29842109446976,9,Low Risk - Low Value,2131
1279,0,188,4282.32,2.0136254,562,9,0.0160142348754448,0.8980667838312829,0.0,10.20744680851064,0.0,3.761904761904762,2.95011802255977,0.7842065036758151,0.3292035398230089,0.4402125755526457,0.116917625700099,-1.5000000000000016,5.0,0.0,36.0,3.0,1.0,1.0,0,340,0,Light/No_Promo_User,651,0,0.2624052822102029,-1.0335043236272827,True,Light/No_Promo_User,651,0.1222548426871108,346.56066634492146,4,Low Risk - High Value,785
128,0,25,807.2,2.2461567,632,2,0.0031645569620253,0.2300469483568075,0.0,11.76,0.0,28.63636363636364,34.04974715596698,1.1890383743537003,0.2351351351351351,0.3396739038132091,0.0679347807626418,2.5,0.0,0.0,651.0,0.0,0.0,0.0,0,415,0,Light/No_Promo_User,651,0,0.2491173204344081,-1.1033254687028269,True,Light/No_Promo_User,651,0.0507997053992282,74.80500201520819,10,Low Risk - Low Value,2480
